hazard_name	description
Collapsing Roof	iron braces and reusable counterweights
Falling Net	weighted netting, trip wire, and release hooks
Fire-Casting Statue	heat-cracked rune fragments and a copper trigger plate
Hidden Pit	hinges, springs, and the concealed trigger plate
Poisoned Darts	darts, wire, and a stoppered poison reservoir
Poisoned Needle	a fine spring, glass poison vial, and needle housing
Rolling Stone	chain, retaining pins, and release gears
Spiked Pit	iron spikes, hinge pins, and tension wire
Alarm Bell	bell wire, a small bronze bell, and pulleys
Arcane Alarm	copper wire and inert alarm-rune fragments
Swinging Blade	blade sections, chain, and heavy pivot gears
Falling Block	trigger plates, iron pins, and support chain
Fire Jet	brass nozzles, fuel tubing, and an ignition stone
Acid Spray	glass tubing, stoppered vials, and a pressure valve
Freezing Mist	frosted copper coils and alchemical residue
Lightning Conductor	copper braid, ceramic insulators, and charged crystal chips
Thunder Rune	cracked rune tiles and resonant metal plates
Glyph of Sleep	chalk compounds and reusable silver inlay
Binding Circle	silver wire and intact warding-rune fragments
Teleporting Tile	etched tile fragments and a focusing crystal
Flooding Chamber	valve wheels, chain, and waterproof seals
Draining Floor	brass grates, control gears, and chain
Quicksand Bed	a concealed bellows, canvas liner, and valves
Cave-In	bracing iron, rope, and intact pitons
Unstable Ledge	anchor chain and reusable climbing spikes
Rope Bridge Failure	rope, pulleys, and iron anchor rings
Rotating Room	large gears, locking pins, and bearings
Crushing Walls	gear teeth, drive chain, and stop blocks
Portcullis Drop	winch gears, chain, and a counterweight
Magnetic Floor	lodestone plates and copper control wire
Burning Oil Channel	sealed oil flasks, wick cord, and brass valves
Poison Gas Vents	filter cloth, glass reservoirs, and vent valves
Spore Cloud	sealed sample jars and alchemical residue
Slippery Algae	waterproof sacks of useful alchemical growth
Extreme Heat	ceramic insulation and heat-resistant metal plates
Bitter Cold	insulated tubing and frost crystal residue
Animated Chains	chain, binding links, and chipped rune fragments
Grasping Vines	tough vine rope and sealed irritant sap
Haunted Whispers	sound-catching silver wire and cracked spirit runes
Planar Pulse	charged crystal fragments and warped copper rings
