visitor_id	scene_key	context	setup	description	dialogue	outcome	reward	hook
spork	rubble-rescue	any	Buried but cheerful	Only Spork's boots show beneath a loose mound of stone; his muffled instructions are sincere and completely backward.	If you lift the blue rock first, I think the rest become less on top of me.	Once freed, Spork thanks every rescuer individually and hurries toward the safest-looking exit.	A stoppered vial of antitoxin he found before the collapse.	The rubble conceals recent tool marks from someone widening this passage.
spork	cage-latch	any	A cage with an optimistic prisoner	Spork sits inside a rusted hanging cage, attempting to reach its latch with a bent spoon.	Good news: the spoon is improving. Bad news: the lock remains very experienced.	He accepts help with enormous relief and insists the spoon belongs to the dungeon.	A packet containing two uses of basic healer's supplies.	Spork heard workers arguing about a blocked route nearby.
spork	ledge-rope	any	Hanging on politely	Spork dangles from a knotted rope above a short but alarming drop, apologizing whenever the rope creaks.	I have tested the knot extensively. It continues to be a knot.	After being hauled up, he coils the rope badly and leaves it for the party.	Fifty feet of serviceable hempen rope.	Scratches below mark a narrow ledge leading around the drop.
spork	barrel-hiding	any	The barrel that whispers	A barrel quietly asks whether the dangerous part is over; Spork's eyes then appear beneath its lid.	I was practicing storage. It became hiding when I heard the noise.	He emerges, dusts himself off, and points out the direction from which the noise came.	A wrapped ration and a small flask of clean water.	Spork heard heavy movement beyond one of the exits.
spork	wrong-lever	any	Holding the wrong lever	Spork grips a wall lever with both hands, convinced something unpleasant will happen if he releases it.	I pulled it to help. I am now helping continuously.	Careful inspection lets the party secure the mechanism and free him without consequence.	A brass maintenance key that fits common service panels.	The lever controls an old ventilation shutter elsewhere in the district.
spork	rescue-bundle	any	A rescue already in progress	Spork struggles to drag an abandoned explorer's supply bundle away from an unstable patch of floor.	Nobody was attached to it, but it looked as though somebody might miss it.	With help, he brings the bundle to safety and leaves its useful contents with the party.	One common adventuring gear item chosen by the DM.	The bundle bears the mark of a recent expedition.
spork	collapsed-tent	peaceful	Camp engineering	Spork is trapped inside a collapsed one-person tent and calmly narrates his attempts to find the entrance.	This tent has more inside than I expected and less outside than I require.	The party can unfold him and the tent in moments; he departs grinning.	A tin of strong tea sufficient for one short rest.	The abandoned camp was vacated in a hurry.
spork	monster-corner	encounter	A very small hiding place	After the fighting, Spork unfolds himself from a niche far too small for comfort.	I was not participating. I was being extremely flat.	He offers thanks and shares what he noticed while hiding.	-	Spork saw one creature repeatedly watching a particular exit.
spork	trap-flag	hazard	Marking the danger	Spork stands motionless beside the hazard, holding a tiny red flag where he believes it is safest.	I marked the dangerous bit. Unfortunately, I am now standing beside the marked bit.	Once the danger is handled, he gives the flag to the party with solemn gratitude.	A bright red warning flag on a collapsible rod.	Spork noticed older warning marks that someone deliberately scraped away.
spork	bucket-helmet	any	Protected by a bucket	Spork wears a dented bucket as a helmet while trying to crawl from beneath broken furniture.	I chose head safety. I did not account for seeing.	Freed from the wreckage, he keeps the bucket and offers the party his spare supplies.	A candle, chalk, and twenty feet of twine.	One broken furnishing contains a concealed maintenance label.
spork	lost-found-encounter	encounter	The merchant behind cover	Spork crouches behind the nearest crates, rubble, furniture, barricade, or debris with several packs and pieces of ordinary equipment piled around him.	Good, you look like the previous owners. I was safeguarding these. Please handle the dangerous part while I continue safeguarding.	Once the danger passes, Spork proudly reveals that he sorted the recovered equipment alphabetically—by emotional significance.	-	Finders, keepers... mostly.
spork	lost-found-hazard	hazard	The merchant with a warning	Spork stands beside heaps of ordinary equipment and enthusiastically warns the party not to step where he already watched someone fail.	Excellent timing. I was safeguarding these. Also, do not put your foot there. Or there. That third place is probably fine.	After the hazard is addressed, Spork presents the collection and admits that it came from the recently emptied guard stores.	-	Finders, keepers... mostly.
