stock_type	name	rarity	story
mundane	Patchwork Rope Bundle	mundane	Spork says every knot was tied for a different emergency, including two that have not happened yet.
mundane	Color-Coded Torches	mundane	Six torches carry painted handles that Spork insists identify their preferred kinds of darkness.
mundane	Travel Ration Assortment	mundane	The wrapped rations are fresh, filling, and labeled with wildly optimistic serving suggestions.
mundane	Lucky Chalk Box	mundane	Twelve chalk sticks come in mismatched colors; Spork claims the shortest one has found three exits.
mundane	Many-Pocketed Backpack	mundane	The sturdy pack has more external pockets than anyone can count without starting over.
mundane	Lantern Oil Trio	mundane	Three sealed flasks contain ordinary lamp oil with hand-drawn pictures of famous flames.
mundane	Reversible Bedroll	mundane	One side is warm, the other less warm, and Spork is genuinely delighted by the distinction.
mundane	Dungeoneer's Cookpot	mundane	The dented pot has a folding handle and a story about soup that Spork promises was heroic.
mundane	Compact Mess Kit	mundane	Every utensil nests neatly except one spoon that Spork calls independently minded.
mundane	Second-Best Crowbar	mundane	The iron bar is perfectly serviceable; Spork has never explained what happened to the best one.
mundane	Dry Tinder Tins	mundane	Three waxed tins hold dry tinder collected from places Spork describes with unnecessary suspense.
mundane	Collapsible Ten-Foot Pole	mundane	Brass sleeves join the pole's sections, each engraved with a tiny warning against ceilings.
mundane	Canvas Tool Roll	mundane	The roll contains a hammer, pliers, awl, and several tools whose purposes Spork cheerfully guesses.
mundane	Climbing Piton Set	mundane	Eight pitons and a small hammer arrive in a pouch marked Tested Mostly Downward.
mundane	Copper Camp Kettle	mundane	The kettle whistles in two notes and has allegedly settled a disagreement between rival guides.
mundane	Waxed Map Case	mundane	The empty case is waterproof and bears crossed-out names from several previous owners.
mundane	Spare Waterskins	mundane	Two clean waterskins have different caps so Spork can remember which one once held tea.
mundane	Blank Expedition Journal	mundane	The compact journal includes numbered pages, a pencil, and one encouraging note from Spork.
mundane	Assorted Trade Needles	mundane	The packet holds sewing, leatherworking, and sail needles acquired in what Spork calls a sharp bargain.
mundane	Small Iron Mirror	mundane	The polished mirror is durable, slightly flattering, and backed with a painted sunrise.
mundane	Merchant's Twine Wheel	mundane	One hundred feet of strong twine wraps a wooden reel that turns with a satisfying click.
mundane	Emergency Candle Bundle	mundane	Ten candles burn normally despite Spork's claim that each was made for a specific emergency.
mundane	Foldable Canvas Bucket	mundane	The waxed bucket folds flat and carries a faded crest Spork believes belongs to important plumbers.
mundane	Pocket Spice Tin	mundane	Six common seasonings fill labeled compartments, including one label corrected three times.
mundane	Polished Glass Marbles	curiosity	A cloth bag holds bright marbles that Spork markets as navigation aids for sloping floors.
mundane	Foreign Button Collection	curiosity	Twenty mismatched buttons are sorted by the quality of the stories Spork tells about them.
mundane	Tiny Brass Bell	curiosity	The clear-toned bell comes with a handwritten list of situations in which ringing it might help.
mundane	Painted Stone Animals	curiosity	Six smooth stones resemble animals if held at the angle Spork demonstrates with great confidence.
companion	Mechanical Mouse	companion	A palm-sized brass mouse follows crumbs, clicks contentedly, and has no useful combat functions.
companion	Clockwork Sparrow	companion	The tiny bird hops, chirps three notes, and returns to a familiar shoulder when wound.
companion	Messenger Rat	companion	A gentle trained rat carries tiny notes over short safe distances and expects payment in oats.
companion	Miniature Cave Lizard	companion	The sleepy lizard enjoys warm pockets and changes color slightly when pleased.
companion	Glowing Cave Frog	companion	This harmless frog gives off candlelike light when comfortable and goes dark when frightened.
companion	Tiny Animated Lantern	companion	A thumb-sized lantern toddles after its owner, producing a decorative glow too faint for exploration.
companion	Harnessed Beetle	companion	A friendly black beetle wears a tiny red harness and can pull objects no heavier than a button.
companion	Clockwork Snail	companion	The patient copper snail leaves a temporary line of harmless blue chalk wherever it crawls.
