depth_band	neighborhood	phase	category	title	description	implication	presentation
shallow	*	1	practical	Safe Footing Card	A mud-spotted card labeled "Gary — Route Check" marks the pale flagstones as safe footing and the dark stones as loose.	The marked stones behave exactly as described; crossing on the pale stones avoids the unstable section.	direct
shallow	*	2	practical	West Bridge Warning	A folded warning signed "Gary" reads, "Do not trust the west side of the next bridge. The third support shifts under weight."	The next bridge or raised crossing has a weakened third support on its west side; careful inspection confirms fresh movement.	direct
shallow	abandoned-prison	3	practical	Cell Latch Note	A tag bearing Gary's name reads, "The empty cell latches catch twice. Lift before pulling."	One nearby cell has a concealed second catch; lifting its handle reveals a safe storage recess behind the door.	direct
shallow	*	4	practical	Pressure Mark Key	A chalk key titled "Gary's Floor Marks" identifies a small triangle as his warning for pressure plates.	A matching triangle is scratched near a pressure plate in this room or the next suitable passage.	direct
shallow	lost-mines	5	practical	Brace Survey	A sheet titled "Gary's Survey — Lower Workings" marks two sound braces and one timber that should not be touched.	The marked timber carries loose stone; the other braces offer secure handholds or anchor points.	direct
shallow	flooded-depths	0	practical	Waterline Note	A waterproof note signed "Gary" reads, "The water rises after the second bell. The iron steps stay above it."	The waterline confirms the warning, and an iron stair or ladder provides the safest route when the level rises.	direct
shallow	*	1	practical	Draft Test	A strip labeled "Gary — Draft Test" says the cold current leads toward breathable air.	Following the cold draft identifies the least obstructed exit or a narrow ventilation route.	direct
shallow	ancient-fortress	2	practical	Arrow-Slit Warning	A guardhouse slip initialed "G." and issued to Gary marks two arrow slits as blocked and a third as clear.	The third slit offers a sightline into the adjoining approach; the other two are packed with old debris.	direct
shallow	*	3	maintenance	Hinge Service Tag	A brass tag names Gary as the last person to oil a hidden hinge behind the nearest stone support.	Careful investigation reveals the concealed hinge and a shallow maintenance compartment behind the support.	direct
shallow	*	4	maintenance	Lamp Schedule	A lamp-service card signed "Gary" lists the nearest fixtures and the order in which their oil should be replaced.	The listed fixtures can be lit in that order; the final lamp illuminates an otherwise shadowed route marker.	direct
shallow	*	5	maintenance	Replacement Pin	A wrapped iron pin labeled "For Gary — north gate" includes measurements for the worn socket it fits.	A nearby gate or portcullis has the matching worn socket; installing the pin steadies or releases it.	direct
shallow	*	0	maintenance	Drain Cleaning Stub	A work stub bearing Gary's name notes that the lower drain clogs after heavy runoff.	The drain is beginning to clog; clearing its grate prevents the floor from flooding or reveals a small washed-in object.	direct
shallow	buried-city	1	maintenance	Masonry Repair Tag	A repair tag signed "Gary" identifies three stones reset after a wall shifted.	The three reset stones are sound; their different mortar also outlines a safe handhold and inspection seam.	direct
shallow	arcane-complex	2	maintenance	Relay Inspection	A plain inspection card names Gary and records a relay that must be tapped once before use.	The nearby relay responds to one firm tap and safely powers a light, door control, or inert indicator.	direct
shallow	*	3	observational	Patrol Timing	A pocket card labeled "Gary's Count" records the interval between two patrols without identifying either one.	Tracks and distant sounds confirm the interval, giving the party time to prepare or move quietly.	direct
shallow	*	4	personal	Grocery List	A short list signed "Gary" reads, "Lamp oil, onions, chalk, tea. More tea than last time."	A discarded oil wrapper and onion skin nearby suggest the practical list was recently used, but explain nothing else.	direct
middle	*	5	practical	Far-Side Hinge	A repair tag bearing Gary's full name reads, "Safe only from the far side. Use the maintenance latch."	A concealed maintenance latch on the opposite support releases the hinge without dropping the heavy panel.	direct
middle	catacombs	0	practical	Midnight Gallery Warning	A wax-sealed note signed "Gary" warns, "The sealed gallery is crossed after midnight. Wait for the dragging sound to pass."	Scratches and residue support the warning; waiting through the sound leaves the route briefly clear.	direct
